Country,Country Code,Series,Series Code,2024 [2024]
Afghanistan,AFG,"CPI Price,not seas.adj,,,",CPTOTNSXN,174.43231273824
Albania,ALB,"CPI Price,not seas.adj,,,",CPTOTNSXN,142.12192950508
Algeria,DZA,"CPI Price,not seas.adj,,,",CPTOTNSXN,217.03475742216
Angola,AGO,"CPI Price,not seas.adj,,,",CPTOTNSXN,..
Antigua and Barbuda,ATG,"CPI Price,not seas.adj,,,",CPTOTNSXN,144.01003860135
Argentina,ARG,"CPI Price,not seas.adj,,,",CPTOTNSXN,..
Armenia,ARM,"CPI Price,not seas.adj,,,",CPTOTNSXN,160.86538133279
Aruba,ABW,"CPI Price,not seas.adj,,,",CPTOTNSXN,..
Australia,AUS,"CPI Price,not seas.adj,,,",CPTOTNSXN,..
Austria,AUT,"CPI Price,not seas.adj,,,",CPTOTNSXN,150.43539894694
Azerbaijan,AZE,"CPI Price,not seas.adj,,,",CPTOTNSXN,223.49965679452
Bahamas The,BHS,"CPI Price,not seas.adj,,,",CPTOTNSXN,131.05714121761
Bahrain,BHR,"CPI Price,not seas.adj,,,",CPTOTNSXN,121.34887427775
Bangladesh,BGD,"CPI Price,not seas.adj,,,",CPTOTNSXN,267.51220547654
Barbados,BRB,"CPI Price,not seas.adj,,,",CPTOTNSXN,175.26734300508
Belarus,BLR,"CPI Price,not seas.adj,,,",CPTOTNSXN,781.7643283375
Belgium,BEL,"CPI Price,not seas.adj,,,",CPTOTNSXN,144.24295389993
Belize,BLZ,"CPI Price,not seas.adj,,,",CPTOTNSXN,..
Benin,BEN,"CPI Price,not seas.adj,,,",CPTOTNSXN,124.43624436244
Bermuda,BMU,"CPI Price,not seas.adj,,,",CPTOTNSXN,..
Bhutan,BTN,"CPI Price,not seas.adj,,,",CPTOTNSXN,..
Bolivia,BOL,"CPI Price,not seas.adj,,,",CPTOTNSXN,168.52505052627
Bosnia and Herzegovina,BIH,"CPI Price,not seas.adj,,,",CPTOTNSXN,131.03943435616
Botswana,BWA,"CPI Price,not seas.adj,,,",CPTOTNSXN,205.61538461539
Brazil,BRA,"CPI Price,not seas.adj,,,",CPTOTNSXN,228.6700743148
Brunei,BRN,"CPI Price,not seas.adj,,,",CPTOTNSXN,106.4842463598
Bulgaria,BGR,"CPI Price,not seas.adj,,,",CPTOTNSXN,158.01385068448
Burkina Faso,BFA,"CPI Price,not seas.adj,,,",CPTOTNSXN,139.1066953097
Burundi,BDI,"CPI Price,not seas.adj,,,",CPTOTNSXN,391.99818506716
Cambodia,KHM,"CPI Price,not seas.adj,,,",CPTOTNSXN,152.0538067532
Cameroon,CMR,"CPI Price,not seas.adj,,,",CPTOTNSXN,..
Canada,CAN,"CPI Price,not seas.adj,,,",CPTOTNSXN,139.74804517811
Cape Verde,CPV,"CPI Price,not seas.adj,,,",CPTOTNSXN,130.00294775361
Cayman Islands,CYM,"CPI Price,not seas.adj,,,",CPTOTNSXN,..
Central African Republic,CAF,"CPI Price,not seas.adj,,,",CPTOTNSXN,..
Chad,TCD,"CPI Price,not seas.adj,,,",CPTOTNSXN,..
