Country,Country Code,Series,Series Code,2024 [2024],2024M01 [2024M01],2024M02 [2024M02],2024M03 [2024M03],2024M04 [2024M04],2024M05 [2024M05],2024M06 [2024M06],2024M07 [2024M07],2024M08 [2024M08],2024M09 [2024M09],2024M10 [2024M10],2024M11 [2024M11],2024M12 [2024M12]
Afghanistan,AFG,"Official exchange rate, LCU per USD, period average,,",DPANUSLCU,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Official exchange rate, LCU per USD, period average,,",DPANUSLCU,93.11326043823,95.21347826087,96.27714285714,95.14428571429,94.66568181818,93.0297826087,93.2175,92.54630434783,90.70704545455,89.49357142857,90.63086956522,92.43119047619,94.00227272727
Algeria,DZA,"Official exchange rate, LCU per USD, period average,,",DPANUSLCU,133.99203968529,134.30917391304,134.41588095238,134.38166666667,134.45520454546,134.36767391304,134.514975,134.30865217391,134.21009090909,132.48080952381,133.0452826087,133.36795238095,134.04711363636
Angola,AGO,"Official exchange rate, LCU per USD, period average,,",DPANUSLCU,880.17421153382,838.00247826087,838.68338095238,841.50854761905,841.94881818182,851.34352173913,863.2736,881.72919565217,901.52688636364,938.73071428571,921.50382608696,920.01352380952,923.82604545455
Antigua and Barbuda,ATG,"Official exchange rate, LCU per USD, period average,,",DPANUSLCU,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7
Argentina,ARG,"Official exchange rate, LCU per USD, period average,,",DPANUSLCU,915.57652319311,817.97202173913,834.72147619048,850.90339047619,867.81315,886.48756521739,904.0928,922.31539130435,941.66061363636,960.57807142857,979.84091304348,1000.10747619048,1020.42540909091
Armenia,ARM,"Official exchange rate, LCU per USD, period average,,",DPANUSLCU,392.73,404.96,404.27,400.42,390.99,387.82,388.06,388.07,388.08,387.37,387.2,388.97,396.55
Aruba,ABW,"Official exchange rate, LCU per USD, period average,,",DPANUSLCU,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79
Australia,AUS,"Official exchange rate, LCU per USD, period average,,",DPANUSLCU,1.51620070714,1.50240615945,1.5319736862,1.52489791217,1.53644406239,1.51055878124,1.50526666922,1.49842903664,1.5051716925,1.47819737046,1.49014570245,1.53164933644,1.57926807656
Austria,AUT,"Official exchange rate, LCU per USD, period average,,",DPANUSLCU,12.72072840595,12.60408695652,12.75123809524,12.65261904762,12.82906818182,12.73523913043,12.787,12.68873913043,12.49059090909,12.39461904762,12.62532608696,12.94921428571,13.141
Azerbaijan,AZE,"Official exchange rate, LCU per USD, period average,,",DPANUSLCU,1.70012096195,1.6997826087,1.70016666667,1.70026190476,1.70063636364,1.70069565217,1.7001,1.70065217391,1.69975,1.7,1.69982608696,1.69976190476,1.69981818182
Bahamas The,BHS,"Official exchange rate, LCU per USD, period average,,",DPANUSLCU,1,1,1,1,1,1,1,1,1,1,1,1,1
Bahrain,BHR,"Official exchange rate, LCU per USD, period average,,",DPANUSLCU,0.378,0.378,0.378,0.378,0.378,0.378,0.378,0.378,0.378,0.378,0.378,0.378,0.378
Bangladesh,BGD,"Official exchange rate, LCU per USD, period average,,",DPANUSLCU,115.4253436806,109.63160869565,109.61619047619,109.63114285714,109.57006818182,114.93680434783,117.5109,117.57343478261,118.30665909091,119.52392857143,119.56093478261,119.59945238095,119.643
Barbados,BRB,"Official exchange rate, LCU per USD, period average,,",DPANUSLCU,2,2,2,2,2,2,2,2,2,2,2,2,2
Belarus,BLR,"Official exchange rate, LCU per USD, period average,,",DPANUSLCU,3.42478820218,3.34636867562,3.40439209213,3.40966694818,3.43709619962,3.39067746641,3.36535815739,3.35058856046,3.33054410749,3.3664131286,3.46558042226,3.57951731286,3.65125535509
Belgium,BEL,"Official exchange rate, LCU per USD, period average,,",DPANUSLCU,37.2922759058,36.9502173913,37.38185714286,37.09285714286,37.60977272727,37.33473913043,37.48655,37.19839130435,36.61734090909,36.33676190476,37.01241304348,37.96202380952,38.52438636364
Belize,BLZ,"Official exchange rate, LCU per USD, period average,,",DPANUSLCU,2,2,2,2,2,2,2,2,2,2,2,2,2
Benin,BEN,"Official exchange rate, LCU per USD, period average,,",DPANUSLCU,606.34416666667,601.51,607.66,603.33,611.46,606.68,609.68,604.9,595.66,590.63,601.56,617.07,625.99
Bermuda,BMU,"Official exchange rate, LCU per USD, period average,,",DPANUSLCU,1,1,1,1,1,1,1,1,1,1,1,1,1
