Country,Country Code,Series,Series Code,2024 [2024],2024M01 [2024M01],2024M02 [2024M02],2024M03 [2024M03],2024M04 [2024M04],2024M05 [2024M05],2024M06 [2024M06],2024M07 [2024M07],2024M08 [2024M08],2024M09 [2024M09],2024M10 [2024M10]
Advanced Economies,AME,"Official exchange rate, LCU per USD, period average,,",DPANUSLCU,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Official exchange rate, LCU per USD, period average,,",DPANUSLCU,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Official exchange rate, LCU per USD, period average,,",DPANUSLCU,93.08458451217,95.21347826087,96.27714285714,95.14428571429,94.66568181818,93.0297826087,93.2175,92.54630434783,90.70704545455,89.49357142857,90.55105263158
Algeria,DZA,"Official exchange rate, LCU per USD, period average,,",DPANUSLCU,134.0453680229,134.30917391304,134.41588095238,134.38166666667,134.45520454546,134.36767391304,134.514975,134.30865217391,134.21009090909,132.48080952381,133.00955263158
Angola,AGO,"Official exchange rate, LCU per USD, period average,,",DPANUSLCU,871.91854208326,838.00247826087,838.68338095238,841.50854761905,841.94881818182,851.34352173913,863.2736,881.72919565217,901.52688636364,938.73071428571,922.43827777778
Antigua and Barbuda,ATG,"Official exchange rate, LCU per USD, period average,,",DPANUSLCU,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7
Argentina,ARG,"Official exchange rate, LCU per USD, period average,,",DPANUSLCU,896.41849244369,817.97202173913,834.72147619048,850.90339047619,867.81315,886.48756521739,904.0928,922.31539130435,941.66061363636,960.57807142857,977.64044444444
Armenia,ARM,"Official exchange rate, LCU per USD, period average,,",DPANUSLCU,393.33777777778,404.96,404.27,400.42,390.99,387.82,388.06,388.07,388.08,387.37,..
Aruba,ABW,"Official exchange rate, LCU per USD, period average,,",DPANUSLCU,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79
Australia,AUS,"Official exchange rate, LCU per USD, period average,,",DPANUSLCU,1.50765273678,1.50240615945,1.5319736862,1.52489791217,1.53644406239,1.51055878124,1.50526666922,1.49842903664,1.5051716925,1.47819737046,1.48318199755
